# Atmosfera fiducial do Cerro Pachon, massa de ar 1.2, com aerossois
# Rubin Observatory throughputs, release 1.9
# Source: https://github.com/lsst/throughputs/blob/main/baseline/atmos_std.dat
# Modelo MODTRAN da atmosfera do sítio Rubin.
# Valores reamostrados em passos de 1 nm.
# wavelength_nm,throughput
300.0,0.006410326
301.0,0.011908372
302.0,0.017409600
303.0,0.026580214
304.0,0.035756052
305.0,0.050439561
306.0,0.064213966
307.0,0.081666419
308.0,0.100964208
309.0,0.116600107
310.0,0.142346443
311.0,0.158001893
312.0,0.181016528
313.0,0.204043322
314.0,0.218807914
315.0,0.245534909
316.0,0.257558093
317.0,0.280628300
318.0,0.291745809
319.0,0.321280091
320.0,0.320442380
321.0,0.352761432
322.0,0.351930260
323.0,0.363077810
324.0,0.391743656
325.0,0.381700093
326.0,0.403006060
327.0,0.416942463
328.0,0.409663773
329.0,0.432836305
330.0,0.440326497
331.0,0.435816236
332.0,0.451621490
333.0,0.460043384
334.0,0.457380591
335.0,0.471351809
336.0,0.477933426
337.0,0.476195565
338.0,0.482780008
339.0,0.491216965
340.0,0.493180072
341.0,0.498845394
342.0,0.504512599
343.0,0.508329831
344.0,0.510295833
345.0,0.515967356
346.0,0.520714169
347.0,0.524535646
348.0,0.528358110
349.0,0.533108699
350.0,0.536933315
351.0,0.539831348
352.0,0.542729940
353.0,0.547484966
354.0,0.550385052
355.0,0.554214012
356.0,0.558043899
357.0,0.560945985
358.0,0.564777510
359.0,0.567680837
360.0,0.571513974
361.0,0.574418522
362.0,0.578253247
363.0,0.581158995
364.0,0.584065243
365.0,0.587902211
366.0,0.590809631
367.0,0.593717536
368.0,0.597556699
369.0,0.600465748
370.0,0.603375272
371.0,0.606285267
372.0,0.609195729
373.0,0.612106654
374.0,0.615018039
375.0,0.617929881
376.0,0.620842176
377.0,0.623754920
378.0,0.626668110
379.0,0.629581743
380.0,0.632495815
381.0,0.635410323
382.0,0.638325263
383.0,0.641240633
384.0,0.643222868
385.0,0.646138920
386.0,0.649055392
387.0,0.651038224
388.0,0.653955364
389.0,0.656872915
390.0,0.658856328
391.0,0.661774532
392.0,0.663758270
393.0,0.666677118
394.0,0.669596365
395.0,0.671580659
396.0,0.673565029
397.0,0.676485140
398.0,0.678469819
399.0,0.681390549
400.0,0.683375531
401.0,0.685360586
402.0,0.688282151
403.0,0.690267503
404.0,0.692252924
405.0,0.695175310
406.0,0.697161021
407.0,0.699146801
408.0,0.701132648
409.0,0.703118562
410.0,0.705104543
411.0,0.708028376
412.0,0.710014636
413.0,0.712000960
414.0,0.713987348
415.0,0.715973800
416.0,0.717960315
417.0,0.719946892
418.0,0.721933533
419.0,0.723920235
420.0,0.725906999
421.0,0.727893824
422.0,0.729880709
423.0,0.731867655
424.0,0.732915026
425.0,0.734901953
426.0,0.736888940
427.0,0.738875987
428.0,0.739922910
429.0,0.742850255
430.0,0.743897026
431.0,0.745884171
432.0,0.747871374
433.0,0.748917783
434.0,0.750904969
435.0,0.751951097
436.0,0.753938265
437.0,0.755925491
438.0,0.757912774
439.0,0.758958477
440.0,0.760003979
441.0,0.761991173
442.0,0.763978424
443.0,0.765023583
444.0,0.767010819
445.0,0.767113311
446.0,0.769100407
447.0,0.771087560
448.0,0.772131994
449.0,0.774119134
450.0,0.776106330
451.0,0.777150437
452.0,0.778194355
453.0,0.780181472
454.0,0.781225136
455.0,0.783212243
456.0,0.784255655
457.0,0.785298883
458.0,0.786341928
459.0,0.787384791
460.0,0.788427472
461.0,0.789469974
462.0,0.790512298
463.0,0.792499019
464.0,0.793541104
465.0,0.794583014
466.0,0.796569671
467.0,0.797611347
468.0,0.798652850
469.0,0.799694181
470.0,0.800735341
471.0,0.802721822
472.0,0.803762756
473.0,0.804803522
474.0,0.805844120
475.0,0.805938615
476.0,0.806978772
477.0,0.808018765
478.0,0.809058595
479.0,0.809151887
480.0,0.809244802
481.0,0.810283933
482.0,0.811322907
483.0,0.812361724
484.0,0.814347301
485.0,0.815385914
486.0,0.816424372
487.0,0.817462676
488.0,0.818500828
489.0,0.818591384
490.0,0.819629129
491.0,0.820666724
492.0,0.821704170
493.0,0.822741469
494.0,0.823778621
495.0,0.823867563
496.0,0.824904321
497.0,0.824992668
498.0,0.826029039
499.0,0.826116798
500.0,0.827152785
501.0,0.826291293
502.0,0.826378033
503.0,0.825515568
504.0,0.824652572
505.0,0.826636245
506.0,0.826721653
507.0,0.828705256
508.0,0.829739563
509.0,0.830773739
510.0,0.831807784
511.0,0.832841699
512.0,0.833875486
513.0,0.834909144
514.0,0.834992740
515.0,0.836026049
516.0,0.836109108
517.0,0.837142072
518.0,0.837224601
519.0,0.837306820
520.0,0.838339228
521.0,0.838420925
522.0,0.838502316
523.0,0.838583404
524.0,0.838664190
525.0,0.838744677
526.0,0.837873816
527.0,0.837953617
528.0,0.838033123
529.0,0.838112336
530.0,0.838191257
531.0,0.838269889
532.0,0.838348232
533.0,0.838426289
534.0,0.839455824
535.0,0.840485252
536.0,0.841514573
537.0,0.841591760
538.0,0.842620782
539.0,0.842697498
540.0,0.842773936
541.0,0.841897726
542.0,0.841973529
543.0,0.843001604
544.0,0.843076949
545.0,0.843152023
546.0,0.843226830
547.0,0.843301370
548.0,0.844328611
549.0,0.844402705
550.0,0.845429669
551.0,0.845503321
552.0,0.845576713
553.0,0.845649846
554.0,0.845722721
555.0,0.846748885
556.0,0.846821331
557.0,0.845939813
558.0,0.846011670
559.0,0.846083277
560.0,0.845200683
561.0,0.845271711
562.0,0.844388381
563.0,0.844458837
564.0,0.844529050
565.0,0.843644670
566.0,0.843714319
567.0,0.843783729
568.0,0.843852899
569.0,0.842012507
570.0,0.842081048
571.0,0.843104173
572.0,0.843172324
573.0,0.843240242
574.0,0.844262978
575.0,0.844330511
576.0,0.845353017
577.0,0.846375446
578.0,0.847397800
579.0,0.848420078
580.0,0.849442281
581.0,0.850464409
582.0,0.851486463
583.0,0.852508444
584.0,0.852574549
585.0,0.853596309
586.0,0.853662047
587.0,0.853727567
588.0,0.850924583
589.0,0.846208610
590.0,0.845316658
591.0,0.849205912
592.0,0.846400837
593.0,0.849333862
594.0,0.848440992
595.0,0.846591169
596.0,0.850480882
597.0,0.849587245
598.0,0.850606886
599.0,0.850669579
600.0,0.851689022
601.0,0.852708402
602.0,0.852770624
603.0,0.853789809
604.0,0.854808931
605.0,0.855827992
606.0,0.856846991
607.0,0.857865928
608.0,0.858884805
609.0,0.859903621
610.0,0.860922377
611.0,0.861941073
612.0,0.862959709
613.0,0.863978285
614.0,0.865954717
615.0,0.866973243
616.0,0.867991709
617.0,0.869010117
618.0,0.870028467
619.0,0.870088512
620.0,0.871106680
621.0,0.872124791
622.0,0.873142845
623.0,0.874160842
624.0,0.874220208
625.0,0.875238027
626.0,0.876255791
627.0,0.875355962
628.0,0.853361492
629.0,0.865884190
630.0,0.866900840
631.0,0.873671586
632.0,0.877565778
633.0,0.880501146
634.0,0.882477499
635.0,0.883494647
636.0,0.884511743
637.0,0.885528786
638.0,0.886545776
639.0,0.887562715
640.0,0.887620012
641.0,0.888636786
642.0,0.889653508
643.0,0.890670179
644.0,0.890726965
645.0,0.891743474
646.0,0.890840019
647.0,0.888016237
648.0,0.886152000
649.0,0.889088045
650.0,0.892024282
651.0,0.893040195
652.0,0.889254470
653.0,0.895071877
654.0,0.896087647
655.0,0.895182377
656.0,0.896197935
657.0,0.898174061
658.0,0.899189584
659.0,0.901165793
660.0,0.902181283
661.0,0.903196728
662.0,0.904212126
663.0,0.904266516
664.0,0.905281766
665.0,0.906296971
666.0,0.906350995
667.0,0.907366054
668.0,0.908381068
669.0,0.908434732
670.0,0.909449602
671.0,0.910464429
672.0,0.910517736
673.0,0.911532421
674.0,0.911585474
675.0,0.912600017
676.0,0.912652819
677.0,0.913667222
678.0,0.914681584
679.0,0.914734039
680.0,0.914786343
681.0,0.915800471
682.0,0.915852529
683.0,0.916866522
684.0,0.916918336
685.0,0.916970001
686.0,0.912210283
687.0,0.758293218
688.0,0.766034412
689.0,0.801686186
690.0,0.820017480
691.0,0.852788400
692.0,0.876899691
693.0,0.896200391
694.0,0.899137610
695.0,0.904000459
696.0,0.905975356
697.0,0.918541474
698.0,0.918591319
699.0,0.910937536
700.0,0.912912663
701.0,0.912961780
702.0,0.913973850
703.0,0.915949031
704.0,0.919850669
705.0,0.919899598
706.0,0.920911689
707.0,0.922887093
708.0,0.922935769
709.0,0.924911208
710.0,0.924959716
711.0,0.925008089
712.0,0.926983531
713.0,0.926068088
714.0,0.926116113
715.0,0.924236506
716.0,0.921392769
717.0,0.893488516
718.0,0.867509065
719.0,0.845382619
720.0,0.849281722
721.0,0.883066539
722.0,0.913962375
723.0,0.896654005
724.0,0.870666025
725.0,0.876495264
726.0,0.888110702
727.0,0.887190788
728.0,0.877591184
729.0,0.891136915
730.0,0.900825941
731.0,0.897976920
732.0,0.907666995
733.0,0.923145648
734.0,0.926084962
735.0,0.926130281
736.0,0.926175479
737.0,0.926220557
738.0,0.931089814
739.0,0.932099793
740.0,0.933109745
741.0,0.935084670
742.0,0.936094616
743.0,0.936139443
744.0,0.937149290
745.0,0.937193927
746.0,0.937238446
747.0,0.937282849
748.0,0.938292456
749.0,0.938336671
750.0,0.938380770
751.0,0.939390211
752.0,0.939434125
753.0,0.939477924
754.0,0.940487202
755.0,0.940530818
756.0,0.940574321
757.0,0.941583438
758.0,0.941626760
759.0,0.894345017
760.0,0.466510166
761.0,0.345793505
762.0,0.626900006
763.0,0.529363332
764.0,0.573824928
765.0,0.687848154
766.0,0.786423628
767.0,0.863752231
768.0,0.904371725
769.0,0.920838442
770.0,0.934407633
771.0,0.941213555
772.0,0.942221684
773.0,0.942263368
774.0,0.943271412
775.0,0.943312928
776.0,0.943354338
777.0,0.943395643
778.0,0.943436844
779.0,0.943477941
780.0,0.944485654
781.0,0.944526586
782.0,0.944567415
783.0,0.944608142
784.0,0.944648766
785.0,0.944689289
786.0,0.944729710
787.0,0.943803019
788.0,0.942876145
789.0,0.940014902
790.0,0.938120448
791.0,0.938160082
792.0,0.940134050
793.0,0.940173569
794.0,0.946016773
795.0,0.945089002
796.0,0.938356783
797.0,0.940330669
798.0,0.944239536
799.0,0.944278633
800.0,0.942382557
801.0,0.940486226
802.0,0.941492495
803.0,0.941531091
804.0,0.942537289
805.0,0.944511210
806.0,0.946485194
807.0,0.946523610
808.0,0.946561933
809.0,0.944664376
810.0,0.943734502
811.0,0.941836486
812.0,0.937034192
813.0,0.928359222
814.0,0.908066412
815.0,0.895516905
816.0,0.875220994
817.0,0.883001279
818.0,0.865607815
819.0,0.889848915
820.0,0.890852214
821.0,0.931558084
822.0,0.919005411
823.0,0.828977167
824.0,0.901644612
825.0,0.925892292
826.0,0.916242722
827.0,0.931775438
828.0,0.895003844
829.0,0.903756173
830.0,0.917352555
831.0,0.928043703
832.0,0.915485164
833.0,0.933927318
834.0,0.932993968
835.0,0.943686994
836.0,0.941784855
837.0,0.945696192
838.0,0.946700775
839.0,0.949643395
840.0,0.950648029
841.0,0.948745363
842.0,0.950719000
843.0,0.951723529
844.0,0.951758844
845.0,0.952763317
846.0,0.953767779
847.0,0.953802919
848.0,0.952868629
849.0,0.952903571
850.0,0.952938431
851.0,0.952973211
852.0,0.953007911
853.0,0.954012055
854.0,0.953077070
855.0,0.954081125
856.0,0.954115540
857.0,0.954149877
858.0,0.955153834
859.0,0.955188048
860.0,0.955222184
861.0,0.955256242
862.0,0.955290221
863.0,0.956293996
864.0,0.956327855
865.0,0.956361637
866.0,0.956395343
867.0,0.956428972
868.0,0.956462524
869.0,0.956496001
870.0,0.957499512
871.0,0.957532871
872.0,0.957566155
873.0,0.957599364
874.0,0.957632497
875.0,0.957665556
876.0,0.957698541
877.0,0.957731452
878.0,0.957764289
879.0,0.957797052
880.0,0.957829742
881.0,0.957862358
882.0,0.956924391
883.0,0.957927374
884.0,0.957959773
885.0,0.957992099
886.0,0.956083069
887.0,0.957085862
888.0,0.956147234
889.0,0.958120690
890.0,0.957181887
891.0,0.957213754
892.0,0.955303876
893.0,0.947568582
894.0,0.945658114
895.0,0.928212512
896.0,0.902027000
897.0,0.880694686
898.0,0.898202078
899.0,0.811807019
900.0,0.866214700
901.0,0.859445031
902.0,0.868213353
903.0,0.875039805
904.0,0.931398793
905.0,0.922687598
906.0,0.917860901
907.0,0.869324760
908.0,0.857696503
909.0,0.863552186
910.0,0.873293805
911.0,0.879150236
912.0,0.874320834
913.0,0.862690574
914.0,0.858831751
915.0,0.883147857
916.0,0.849170011
917.0,0.900692610
918.0,0.856024893
919.0,0.909494181
920.0,0.917296277
921.0,0.929957509
922.0,0.917353377
923.0,0.927099864
924.0,0.917410234
925.0,0.911607394
926.0,0.921354420
927.0,0.928186216
928.0,0.869897547
929.0,0.853400486
