# Transmissão óptica do Rubin: três espelhos e três lentes
# Rubin Observatory throughputs, release 1.9
# Source: https://github.com/lsst/throughputs/tree/main/baseline
# Produto de m1.dat, m2.dat, m3.dat, lens1.dat, lens2.dat e lens3.dat.
# Não inclui filtro, atmosfera ou detector. Valores reamostrados em passos de 1 nm.
# wavelength_nm,throughput
300.0,0.000000000
301.0,0.000116755
302.0,0.000738624
303.0,0.000538247
304.0,0.000362469
305.0,0.000396095
306.0,0.000319293
307.0,0.000261286
308.0,0.000157806
309.0,0.000133953
310.0,0.000086070
311.0,0.000083833
312.0,0.000024799
313.0,0.000026368
314.0,0.000012861
315.0,0.000002472
316.0,0.000002247
317.0,0.000001083
318.0,0.000000059
319.0,0.000001190
320.0,0.000003879
321.0,0.000015441
322.0,0.000091388
323.0,0.000299498
324.0,0.000878884
325.0,0.002329364
326.0,0.005137235
327.0,0.008899970
328.0,0.016172549
329.0,0.025028915
330.0,0.037620328
331.0,0.054212626
332.0,0.068377277
333.0,0.088862609
334.0,0.108765396
335.0,0.127487931
336.0,0.146046058
337.0,0.167460476
338.0,0.186079510
339.0,0.204457336
340.0,0.225709864
341.0,0.238574033
342.0,0.255802189
343.0,0.271465905
344.0,0.282009302
345.0,0.289961188
346.0,0.301574928
347.0,0.310616282
348.0,0.325093751
349.0,0.332463479
350.0,0.341785291
351.0,0.349514167
352.0,0.354742662
353.0,0.357421789
354.0,0.364617605
355.0,0.368142344
356.0,0.371711545
357.0,0.378090544
358.0,0.381121512
359.0,0.383721772
360.0,0.387837161
361.0,0.390195595
362.0,0.394575226
363.0,0.398168294
364.0,0.402379790
365.0,0.404430872
366.0,0.409771675
367.0,0.412405321
368.0,0.417948681
369.0,0.420843717
370.0,0.422898603
371.0,0.425168461
372.0,0.431147647
373.0,0.435632813
374.0,0.439369913
375.0,0.441160024
376.0,0.445039385
377.0,0.450374633
378.0,0.454996943
379.0,0.458695499
380.0,0.462394707
381.0,0.467458714
382.0,0.471552843
383.0,0.475798319
384.0,0.481133077
385.0,0.486359456
386.0,0.490713556
387.0,0.494670104
388.0,0.501182298
389.0,0.505680572
390.0,0.510065968
391.0,0.515624154
392.0,0.519358128
393.0,0.524142487
394.0,0.529656209
395.0,0.533927612
396.0,0.537558265
397.0,0.543640144
398.0,0.548697859
399.0,0.552974673
400.0,0.557460500
401.0,0.561144659
402.0,0.565194451
403.0,0.569083999
404.0,0.573136976
405.0,0.576922937
406.0,0.579836552
407.0,0.583779637
408.0,0.586137835
409.0,0.590075894
410.0,0.593357360
411.0,0.596804602
412.0,0.599536077
413.0,0.602698857
414.0,0.605256320
415.0,0.608420445
416.0,0.610843195
417.0,0.613563122
418.0,0.615738205
419.0,0.617655736
420.0,0.620276402
421.0,0.622459311
422.0,0.624419837
423.0,0.625862529
424.0,0.628228115
425.0,0.630258529
426.0,0.632578839
427.0,0.633938290
428.0,0.636192356
429.0,0.637969344
430.0,0.639296481
431.0,0.641087713
432.0,0.641962425
433.0,0.643679352
434.0,0.644770682
435.0,0.646581999
436.0,0.647895806
437.0,0.648538751
438.0,0.649630830
439.0,0.650731763
440.0,0.651580992
441.0,0.652587771
442.0,0.653290650
443.0,0.654662127
444.0,0.655077408
445.0,0.656480315
446.0,0.657621127
447.0,0.658349533
448.0,0.659278913
449.0,0.659952335
450.0,0.660652412
451.0,0.661921603
452.0,0.662235563
453.0,0.663128892
454.0,0.663655894
455.0,0.663943280
456.0,0.664762385
457.0,0.665503394
458.0,0.666229527
459.0,0.667104815
460.0,0.667478295
461.0,0.668154763
462.0,0.668077247
463.0,0.668205898
464.0,0.669177979
465.0,0.669805306
466.0,0.670032797
467.0,0.670707033
468.0,0.671311434
469.0,0.671978696
470.0,0.672325391
471.0,0.672965835
472.0,0.673451649
473.0,0.674050504
474.0,0.674354906
475.0,0.674912958
476.0,0.675681062
477.0,0.675887276
478.0,0.676437431
479.0,0.676884003
480.0,0.677231057
481.0,0.677634228
482.0,0.677882718
483.0,0.678454971
484.0,0.679029321
485.0,0.679210499
486.0,0.679372041
487.0,0.679328979
488.0,0.680000902
489.0,0.680039143
490.0,0.680191343
491.0,0.680566898
492.0,0.680730927
493.0,0.681086343
494.0,0.681468437
495.0,0.681758871
496.0,0.682084467
497.0,0.682254792
498.0,0.682716347
499.0,0.683204503
500.0,0.683530216
501.0,0.683693289
502.0,0.683964303
503.0,0.684190981
504.0,0.684772032
505.0,0.684597517
506.0,0.684765330
507.0,0.685134824
508.0,0.684998626
509.0,0.685100928
510.0,0.685059076
511.0,0.685326511
512.0,0.685779621
513.0,0.685836148
514.0,0.686239458
515.0,0.686529626
516.0,0.686843156
517.0,0.686942098
518.0,0.687133133
519.0,0.687579266
520.0,0.687857625
521.0,0.688197847
522.0,0.688318067
523.0,0.688636924
524.0,0.688849438
525.0,0.689163647
526.0,0.689063956
527.0,0.689290753
528.0,0.689830202
529.0,0.689974284
530.0,0.690336264
531.0,0.690613118
532.0,0.690612821
533.0,0.690683618
534.0,0.690849258
535.0,0.691325676
536.0,0.691524587
537.0,0.691922802
538.0,0.692252468
539.0,0.692566444
540.0,0.692673489
541.0,0.692815214
542.0,0.692818993
543.0,0.693205049
544.0,0.693058901
545.0,0.692873001
546.0,0.693136806
547.0,0.693489361
548.0,0.693717400
549.0,0.693938765
550.0,0.694138498
551.0,0.694537913
552.0,0.694854634
553.0,0.694783533
554.0,0.695347476
555.0,0.695583312
556.0,0.695847819
557.0,0.696094173
558.0,0.696365989
559.0,0.696566523
560.0,0.696767097
561.0,0.697585593
562.0,0.697407240
563.0,0.697708234
564.0,0.698124359
565.0,0.698239460
566.0,0.698801558
567.0,0.698952634
568.0,0.699390453
569.0,0.699584693
570.0,0.700075977
571.0,0.700184783
572.0,0.700580246
573.0,0.700846597
574.0,0.701407659
575.0,0.702223719
576.0,0.702526588
577.0,0.702872778
578.0,0.703306067
579.0,0.703201812
580.0,0.702194791
581.0,0.702483348
582.0,0.703103206
583.0,0.703298377
584.0,0.703697451
585.0,0.703662339
586.0,0.703700432
587.0,0.703683807
588.0,0.704143391
589.0,0.704777190
590.0,0.705393306
591.0,0.705674189
592.0,0.706283942
593.0,0.706568249
594.0,0.706577811
595.0,0.707083204
596.0,0.707606817
597.0,0.708681371
598.0,0.709438520
599.0,0.709807792
