wavelength_[nm],flux_[W/m²/nm]
336.0,3.367730353548084e-16
338.0,3.0306814253690134e-16
340.0,3.0094128173306295e-16
342.0,2.9003796139993056e-16
344.0,2.6573937382906765e-16
346.0,2.545033176682023e-16
348.0,2.67839884080651e-16
350.0,2.7414249030322206e-16
352.0,2.666934057266896e-16
354.0,2.7997326855292913e-16
356.0,3.092656729002219e-16
358.0,3.046631754595707e-16
360.0,2.741737761766575e-16
362.0,2.557630699505543e-16
364.0,2.786958010977007e-16
366.0,3.1894253087739255e-16
368.0,3.31905019289786e-16
370.0,3.199546018580342e-16
372.0,3.3151813625015634e-16
374.0,3.7470604566784634e-16
376.0,3.9216900687679777e-16
378.0,3.5095930529213266e-16
380.0,2.9685716995802104e-16
382.0,3.054283052209006e-16
384.0,3.727708342372004e-16
386.0,4.126783114956238e-16
388.0,3.7173702326554533e-16
390.0,2.8409354743673843e-16
392.0,2.160665001858415e-16
394.0,1.9814811799592137e-16
396.0,2.216485528666676e-16
398.0,2.628960611234852e-16
400.0,3.0394025757353186e-16
402.0,3.394251467000853e-16
404.0,3.659157741053159e-16
406.0,3.826646465918243e-16
408.0,3.8885309868618957e-16
410.0,3.8639878164256386e-16
412.0,3.8101924714061416e-16
414.0,3.8044051748669323e-16
416.0,3.847309154403552e-16
418.0,3.9014124515685763e-16
420.0,3.903819988399469e-16
422.0,3.8166252911662967e-16
424.0,3.6592559475095263e-16
426.0,3.4997655824495207e-16
428.0,3.3909002496019807e-16
430.0,3.3714968893747114e-16
432.0,3.428799579025031e-16
434.0,3.525444079156722e-16
436.0,3.637563949768623e-16
438.0,3.757695302979973e-16
440.0,3.873397824901916e-16
442.0,3.990696983573064e-16
444.0,4.1065633945767244e-16
446.0,4.2119219720955176e-16
448.0,4.29315828014386e-16
450.0,4.34075361127376e-16
452.0,4.361153778056863e-16
454.0,4.3681949376812305e-16
456.0,4.373293528399909e-16
458.0,4.393652461031165e-16
460.0,4.421199867207615e-16
462.0,4.453441743886433e-16
464.0,4.478394546398356e-16
466.0,4.480587883362617e-16
468.0,4.474787612287927e-16
470.0,4.451541613828428e-16
472.0,4.4279405976160466e-16
474.0,4.4123792529790344e-16
476.0,4.403595669354106e-16
478.0,4.3968117903021154e-16
480.0,4.392408037512377e-16
482.0,4.3675713933649905e-16
484.0,4.3316413837991105e-16
486.0,4.270751648979387e-16
488.0,4.203981743513093e-16
490.0,4.142898059203282e-16
492.0,4.101159969544709e-16
494.0,4.079180392918016e-16
496.0,4.0811472918854447e-16
498.0,4.109403946405663e-16
500.0,4.1521729928268514e-16
502.0,4.1804991869027177e-16
504.0,4.201800221443745e-16
506.0,4.195805858178673e-16
508.0,4.1646698861663413e-16
510.0,4.1148908832957927e-16
512.0,4.050192200546528e-16
514.0,3.9853827374174307e-16
516.0,3.9314925917103106e-16
518.0,3.89533325449053e-16
520.0,3.874011043635046e-16
522.0,3.8805131018055116e-16
524.0,3.9072480233437253e-16
526.0,3.941983076459295e-16
528.0,3.9826568223423335e-16
530.0,4.0219060189513235e-16
532.0,4.0440879563935936e-16
534.0,4.053628644760606e-16
536.0,4.056927154688133e-16
538.0,4.0471757949369925e-16
540.0,4.0248251334153174e-16
542.0,4.0023846853450243e-16
544.0,3.984561060645776e-16
546.0,3.960507724761462e-16
548.0,3.9433735742948407e-16
550.0,3.933822933323336e-16
552.0,3.933268142960986e-16
554.0,3.9262892514670725e-16
556.0,3.9297564904416167e-16
558.0,3.9337047440327355e-16
560.0,3.934199200187342e-16
562.0,3.933884535253884e-16
564.0,3.9340462291464886e-16
566.0,3.9365013121982876e-16
568.0,3.938016256568469e-16
570.0,3.948459315392365e-16
572.0,3.9649619724167544e-16
574.0,3.9688353997306336e-16
576.0,3.965562332202432e-16
578.0,3.945523486700412e-16
580.0,3.9201027781289865e-16
582.0,3.881628868985776e-16
584.0,3.8296749148967443e-16
586.0,3.7882798631721317e-16
588.0,3.7498193546343786e-16
590.0,3.7235843819535805e-16
592.0,3.719042573698722e-16
594.0,3.708948274108928e-16
596.0,3.704630350755798e-16
598.0,3.7171679995334177e-16
600.0,3.734560632412915e-16
602.0,3.752561321629134e-16
604.0,3.759948153266409e-16
606.0,3.7606237769899673e-16
608.0,3.749889020922725e-16
610.0,3.7327288972372565e-16
612.0,3.711544568544529e-16
614.0,3.685728602012976e-16
616.0,3.6561614293447645e-16
618.0,3.6301864031207227e-16
620.0,3.5925073940342935e-16
622.0,3.565955491583585e-16
624.0,3.5628647007587936e-16
626.0,3.5599171048626296e-16
628.0,3.5632375220144287e-16
630.0,3.5709003238054634e-16
632.0,3.5725731377241036e-16
634.0,3.577558059682353e-16
636.0,3.575873778227158e-16
638.0,3.566113077597758e-16
640.0,3.5601129254516293e-16
642.0,3.5898633886597316e-16
644.0,3.5459501379825057e-16
646.0,3.470865292698143e-16
648.0,3.429449125133316e-16
650.0,3.417750011589665e-16
652.0,3.4001863916161337e-16
654.0,3.362067101486175e-16
656.0,3.3131000946651566e-16
658.0,3.2824784814645554e-16
660.0,3.293557952615374e-16
662.0,3.340232198383526e-16
664.0,3.39277639706478e-16
666.0,3.4162072408727525e-16
668.0,3.40331757207929e-16
670.0,3.3625152977520443e-16
672.0,3.3089276927339997e-16
674.0,3.2649733864842757e-16
676.0,3.2544614116545334e-16
678.0,3.2601549999337913e-16
680.0,3.272533379498205e-16
682.0,3.27996289885794e-16
684.0,3.2710348169020607e-16
686.0,3.2500047680331924e-16
688.0,3.2266175213067153e-16
690.0,3.203447682805094e-16
692.0,3.176286273518844e-16
694.0,3.1563856528223584e-16
696.0,3.129675985805006e-16
698.0,3.101096311065651e-16
700.0,3.0737540934062713e-16
702.0,3.0646513751743823e-16
704.0,3.059237170630845e-16
706.0,3.062303306076737e-16
708.0,3.069387716373571e-16
710.0,3.0604337423859453e-16
712.0,3.037388605652589e-16
714.0,3.0053353406394596e-16
716.0,2.9752913909041787e-16
718.0,2.951898912435889e-16
720.0,2.932249095244025e-16
722.0,2.929291155209505e-16
724.0,2.9195035311798587e-16
726.0,2.9057753109514895e-16
728.0,2.893692033024087e-16
730.0,2.8734408653772997e-16
732.0,2.849829569307053e-16
734.0,2.833840749045305e-16
736.0,2.8318370493981225e-16
738.0,2.8306298512717677e-16
740.0,2.827864633779113e-16
742.0,2.821647235415616e-16
744.0,2.8032111226786386e-16
746.0,2.7782201136151503e-16
748.0,2.749518510301962e-16
750.0,2.732392101903817e-16
752.0,2.7190615489912433e-16
754.0,2.7202100485816887e-16
756.0,2.71910187989764e-16
758.0,2.720226772713943e-16
760.0,2.717188704221047e-16
762.0,2.7001419786069167e-16
764.0,2.678294665526771e-16
766.0,2.6580290719421845e-16
768.0,2.641768596352054e-16
770.0,2.6387039519049454e-16
772.0,2.6359973650736156e-16
774.0,2.634351577668652e-16
776.0,2.6336080940212533e-16
778.0,2.6264585142355433e-16
780.0,2.6104790720057355e-16
782.0,2.5818943972255305e-16
784.0,2.55930966940254e-16
786.0,2.536281562774867e-16
788.0,2.5178090745046625e-16
790.0,2.5076244961081045e-16
792.0,2.501711247569547e-16
794.0,2.501100423174141e-16
796.0,2.500162912149609e-16
798.0,2.491136141025919e-16
800.0,2.481124171988938e-16
802.0,2.4648375645934606e-16
