# Vega (Alpha Lyrae), CALSPEC alpha_lyr_stis_012.fits
# Source: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/current_calspec/alpha_lyr_stis_012.fits
# wavelength_nm,flux_W_m-2_nm-1
90.045200,1.289982044e-19
90.135400,1.745803229e-19
90.225800,1.854606762e-19
90.316300,1.899941719e-19
90.406800,1.943627940e-19
90.497400,1.997205421e-19
90.588200,2.051607270e-19
90.679000,2.103536345e-19
90.769900,2.157113826e-19
90.860900,2.211515675e-19
90.952000,2.266741727e-19
91.043100,2.324440552e-19
91.134400,2.386260723e-19
91.225800,2.470336353e-19
91.317200,2.702780391e-19
91.408800,4.910174556e-19
91.500400,3.788343475e-18
91.592100,2.450553773e-17
91.684000,7.133230367e-17
91.775900,1.200136673e-16
91.867900,1.600731673e-16
91.960000,2.020285049e-16
92.052200,2.315373540e-16
92.144500,2.732454088e-16
92.236800,3.022597092e-16
92.329300,3.259162214e-16
92.421900,4.791479713e-16
92.514500,4.862366884e-16
92.607300,3.768561052e-16
92.700100,5.263786301e-16
92.793000,7.817374135e-16
92.886000,8.101746812e-16
92.979200,5.879515895e-16
93.072400,4.161737822e-16
93.165700,6.277638321e-16
93.259100,9.784080962e-16
93.352600,1.199312459e-15
93.446200,1.266078307e-15
93.539800,1.178705706e-15
93.633600,9.050481312e-16
93.727500,5.574535923e-16
93.821400,5.545686658e-16
93.915500,9.594499403e-16
94.009700,1.339438272e-15
94.103900,1.552924049e-15
94.198200,1.683158685e-15
94.292700,1.754870121e-15
94.387200,1.777949803e-15
94.481800,1.685631479e-15
94.576500,1.619689897e-15
94.671400,1.654309285e-15
94.766300,1.497698043e-15
94.861300,1.045998276e-15
94.956400,6.547174369e-16
95.051600,9.157636400e-16
95.146800,1.538911549e-15
95.242200,1.948573545e-15
95.337700,2.167829311e-15
95.433300,2.407691830e-15
95.529000,2.654148331e-15
95.624700,2.871755568e-15
95.720600,3.036609592e-15
95.816600,3.088538540e-15
95.912600,3.108320892e-15
96.008800,3.096781187e-15
96.105000,3.161074375e-15
96.201400,3.240204058e-15
96.297800,3.217124646e-15
96.394300,3.054743416e-15
96.491000,3.047325033e-15
96.587700,3.327576658e-15
96.684500,3.522928748e-15
96.781500,3.509740241e-15
96.878500,3.341589429e-15
96.975600,2.967370815e-15
97.072800,2.283227047e-15
97.170100,1.348505183e-15
97.267500,9.437887754e-16
97.365100,1.633702532e-15
97.462700,2.673930955e-15
97.560400,3.446271588e-15
97.658200,3.922699568e-15
97.756100,4.160089157e-15
97.854100,4.311754675e-15
97.952200,4.461771935e-15
98.050400,4.553265859e-15
98.148700,4.606018800e-15
98.247100,4.703283119e-15
98.345600,4.794776772e-15
98.444200,4.752739001e-15
98.542800,4.779115471e-15
98.641600,4.925835673e-15
98.740500,4.775818413e-15
98.839500,4.426328282e-15
98.938600,4.120524180e-15
99.037800,4.075189350e-15
99.137100,4.553265859e-15
99.236500,4.933254326e-15
99.335900,5.051124449e-15
99.435500,4.811262066e-15
99.535200,4.859893954e-15
99.635000,5.139321585e-15
99.734900,5.258016245e-15
99.834900,5.365995734e-15
99.934900,5.484690393e-15
100.035100,5.649544417e-15
100.135400,5.833356801e-15
100.235800,5.971833813e-15
100.336300,6.088055949e-15
100.436900,6.135039308e-15
100.537600,6.135863844e-15
100.638300,6.130093720e-15
100.739200,6.177901615e-15
100.840200,6.263625686e-15
100.941300,6.323797280e-15
101.042500,6.458153240e-15
101.143800,6.580144958e-15
101.245200,6.632073905e-15
101.346700,6.744998982e-15
101.448300,6.825777465e-15
101.550000,6.936229477e-15
101.651800,7.137351148e-15
101.753700,7.200819802e-15
101.855700,7.121690390e-15
101.957800,6.997225607e-15
102.060100,6.790333812e-15
102.162400,6.489475298e-15
102.264800,5.777306259e-15
102.367300,4.417261370e-15
102.469900,2.603043649e-15
102.572700,1.589191967e-15
102.675500,2.631068920e-15
